STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(3, 8, 1, 1, 1)",0.153036257625,0.001095448812458745,-0.002738458825726763,0.043577203950000004,-0.038530071507466235,-1.6975303850430978
"(3, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 9, 1, 1, 1)",-0.0010233628749999999,-0.00512074200245956,-0.045499258825726765,0.0069814202504750004,-0.019000000000000003,-1.4046488144180589
"(4, 1, 0, 0, 0)",-0.01776931734456798,-0.09575899598599526,-0.018490610669528416,-0.10410889657725403,-0.09446017772787603,-2.793714238944746
"(4, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1, 1, 0, 0)",-0.009963788754548532,-0.04741971550000001,0.004050716582351329,-0.019208050000000004,-0.027308050000000007,-1.0323157132129084
"(4, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1, 1, 1, 0)",-0.022331602270404774,-0.0649168168383832,-0.009094127207557664,-0.06897763232789109,-0.04356368313905362,-1.8426747608944534
"(4, 1, 1, 1, 1)",-0.03385841360514954,-0.11293914461185163,-0.01655732045712663,-0.11510616491868754,-0.11671920971853304,-2.948857788847824
"(4, 2, 0, 0, 0)",0.013466089666615465,-0.07115524232707181,-0.006316128213242918,-0.01829811637001018,-0.059648355046331966,-2.6364091947741364
"(4, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, 1, 0, 0)",-0.006296978370382517,-0.03727173159348811,0.07724785333584899,-0.008969226302092749,-0.0482284857457965,-2.0347262564911226
"(4, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, 1, 1, 0)",-0.009247706507975788,-0.03315145175778919,0.027740717700194102,-0.020570908012670266,-0.06638625711330585,-2.3021944295218253
"(4, 2, 1, 1, 1)",-0.025681313420886708,-0.07073538591362499,0.01965078898423052,-0.03359549114394322,-0.0452928797735155,-2.316031739330944
"(4, 3, 0, 0, 0)",0.03710431926089461,-0.04970077152017919,0.031147370386074374,-0.018453468632230612,-0.03417378636466338,-2.046652241988126
"(4, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, 1, 0, 0)",-0.0007092827687475408,-0.004355197445800946,0.4698560917932159,0.008224600390665573,-0.012354820078568916,-0.9705096232146624
"(4, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, 1, 1, 0)",0.04078448786663805,0.0009861729323470906,0.409945180195847,-0.00788414351572704,-0.025082156372959755,-1.6743532393594098
"(4, 3, 1, 1, 1)",-0.013265597121014747,-0.016014270612573035,0.2037099998374458,-0.009189409358496823,-0.01842484319239281,-2.258864149196777
"(4, 4, 0, 0, 0)",0.22088025277813633,-0.0045806553601612145,-0.0027495082655156745,-0.002428055716092329,0.014800532251996174,-1.503051661361276
"(4, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, 1, 0, 0)",0.2064513570812762,0.5232410600723748,0.09063273888468003,0.059677054851282295,1.7799482034444545,-0.8300645894730729
"(4, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, 1, 1, 0)",0.4051744754106806,0.5211774381940769,1.8288727436032948,0.06235025208374069,0.19685708240533684,-1.6920200159635683
"(4, 4, 1, 1, 1)",0.019928808064983178,0.06339220236126522,0.5433795724191275,0.041237529108646656,0.12710236937543246,-1.807364535899279
"(4, 5, 0, 0, 0)",-0.025287880608742784,-0.03604015644969294,-0.2675569731566113,0.03419538775675413,-0.023656973156611284,-0.5665569731566114
"(4, 5, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5, 1, 0, 0)",0.04297216738873148,0.026198772318454112,-0.4726449868477192,0.4231307167282825,0.000132102078999944,-1.49616285894534
"(4, 5, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5, 1, 1, 0)",0.9196135826877383,1.0088119077707296,0.5842991066810358,0.36130721037136826,0.8882946695623066,3.6593081804770202
"(4, 5, 1, 1, 1)",0.5187504561697679,0.4204487550398899,0.912500904338015,0.26599144497837607,0.585590318122249,-2.055232999227939
"(4, 6, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
